name,country,assets,ownership,worst,adjustmentEuro,adjustmentPoints,outstandingCapitalShortfallMillion
BAWAG PSK,Austria,36.47,private,8.5,42,576,0
Erste Bank,Austria,197.64,state (listed),7.6,1413,242,0
Raiffeisen LB NOe-Wien ,Austria,29.1,co-op,11.8,102,504,0
Raiffeisen LB Ooe,Austria,37.23,co-op,7.9,363,237,0
RZB,Austria,147.09,co-op,7.8,753,194,0
Volksbanken,Austria,40.6,state,2.1,317,827,860
Argenta Bank- en Verzekeringsgroep,Belgium,36.52,private,14.7,12,939,0
Axa Bank Europe,Belgium,36.89,state (listed),3.4,36,1131,0
Belfius,Belgium,161.07,state,7.3,229,619,0
BNY Mellon (Belgium),Belgium,52.9,state (listed),11.2,2,361,0
Dexia,Belgium,222.94,state (listed),5,301,1085,340
KBC,Belgium,241.31,state (listed),8.3,631,441,0
Bank of Cyprus ,Cyprus,29.66,private,1.5,735,578,0
Co-operative Central Bank,Cyprus,16.29,co-op,-8,1,428,0
Hellenic Bank,Cyprus,6.35,state (listed),-0.5,124,571,180
RCB (Cyprus),Cyprus,8.16,state (listed),11.6,8,502,0
Aareal ,Germany,42.98,state (listed),11.8,16,453,0
Apo-Bank,Germany,34.7,co-op,14.7,14,174,0
Bayern LB,Germany,255.84,state,9.4,768,382,0
Commerzbank,Germany,561.38,state (listed),8,1522,288,0
Deutsche Bank,Germany,1580.76,state (listed),8.8,321,455,0
Deka,Germany,116.07,savings,8,44,602,0
DZ Bank,Germany,315.88,co-op,6,247,302,0
Hamburger Sparkasse,Germany,44.47,co-op,10.7,5,173,0
HSH Nordbank,Germany,109.28,state,6.1,1594,394,0
Munchener Hyp,Germany,34.9,co-op,2.9,0,394,0
Hypo Real Estate,Germany,122.45,state,10.8,37,576,0
IKB,Germany,24.71,state (listed),6.5,46,252,0
KfW,Germany,23.44,state,9.4,88,338,0
Landesbank Berlin,Germany,101.16,savings,6.8,32,306,0
LBBW,Germany,273.52,state,7.4,479,605,0
Helaba ,Germany,177,savings,8.2,195,407,0
L-Bank,Germany,70.68,state,11.2,0,227,0
Landwirtschaftliche Rentenbank ,Germany,81.93,state,12.9,7,399,0
Nordd LB,Germany,197.66,state,8.8,872,136,0
NRW Bank,Germany,145.35,state,31.5,0,581,0
SEB,Germany,31.75,state (listed),12.8,27,414,0
Volkswagen Financial Services,Germany,98.02,state (listed),7,218,234,0
Wustenrot Bausparkasse AG ,Germany,22.55,state (listed),6.9,0,368,0
